scheme,nx,wave_type,field,mean_L1,n
godunov,32,rare,rho,0.03107478708710537,48
godunov,32,rare,v,0.02096129890873728,48
godunov,32,shock,rho,0.03527871025230334,48
godunov,32,shock,v,0.02342595845658585,48
godunov,64,rare,rho,0.022793385464070014,48
godunov,64,rare,v,0.014195947168265256,48
godunov,64,shock,rho,0.029615397861355513,48
godunov,64,shock,v,0.01757649026902564,48
godunov,128,rare,rho,0.014802081927819004,48
godunov,128,rare,v,0.008410640912359721,48
godunov,128,shock,rho,0.02052983764266603,48
godunov,128,shock,v,0.011031461400934214,48
godunov,256,rare,rho,0.010625045690179689,48
godunov,256,rare,v,0.005543364900798983,48
godunov,256,shock,rho,0.01585205186722705,48
godunov,256,shock,v,0.008280530216704267,48
godunov,512,rare,rho,0.007462083015029611,48
godunov,512,rare,v,0.003619306516025853,48
godunov,512,shock,rho,0.011265694373746046,48
godunov,512,shock,v,0.005641004059225353,48
hll,32,rare,rho,0.030405896665967314,48
hll,32,rare,v,0.018059089834822184,48
hll,32,shock,rho,0.03793498331854763,48
hll,32,shock,v,0.0260534902546531,48
hll,64,rare,rho,0.02205155214090111,48
hll,64,rare,v,0.01258696017685766,48
hll,64,shock,rho,0.031140301051847733,48
hll,64,shock,v,0.018827993497194242,48
hll,128,rare,rho,0.01426902186555746,48
hll,128,rare,v,0.0075871378505012075,48
hll,128,shock,rho,0.021749881916571855,48
hll,128,shock,v,0.011837401835464898,48
hll,256,rare,rho,0.010252535705019895,48
hll,256,rare,v,0.0050769908869342595,48
hll,256,shock,rho,0.016416984668943004,48
hll,256,shock,v,0.008626859968691942,48
hll,512,rare,rho,0.00724458379798965,48
hll,512,rare,v,0.003360316454971597,48
hll,512,shock,rho,0.011526010446080944,48
hll,512,shock,v,0.005794629483990926,48
weno5,32,rare,rho,0.01976658542401409,48
weno5,32,rare,v,0.010042137836845209,48
weno5,32,shock,rho,0.031320216113962566,48
weno5,32,shock,v,0.019497456407311767,48
weno5,64,rare,rho,0.012730815770090326,48
weno5,64,rare,v,0.006061540245684914,48
weno5,64,shock,rho,0.023469996661931964,48
weno5,64,shock,v,0.013038009946962798,48
weno5,128,rare,rho,0.007686485126866594,48
weno5,128,rare,v,0.003356982787265684,48
weno5,128,shock,rho,0.014481429730866741,48
weno5,128,shock,v,0.007388976294787184,48
weno5,256,rare,rho,0.004614045367179604,48
weno5,256,rare,v,0.0019085041570744328,48
weno5,256,shock,rho,0.009529689300410796,48
weno5,256,shock,v,0.004848566236366162,48
weno5,512,rare,rho,0.0024948997711441985,48
weno5,512,rare,v,0.0010111737454367837,48
weno5,512,shock,rho,0.0054014414705016054,48
weno5,512,shock,v,0.0026454186061460124,48
