scheme,cfl,wave_type,field,mean_L1,std_L1,median_L1,n,fails,n_solves,sec_per_solve
godunov,0.2,rare,rho,0.02031539834331236,0.008322399787239471,0.017771498959105653,4,0,8,0.07175351248588413
godunov,0.2,rare,v,0.013491245661014672,0.007493406211674454,0.011484283375125463,4,0,8,0.07175351248588413
godunov,0.2,shock,rho,0.010958812410664674,0.009811399570013904,0.006898978067980085,4,0,8,0.07175351248588413
godunov,0.2,shock,v,0.005742544363738367,0.005947795052988809,0.0030362056289328625,4,0,8,0.07175351248588413
godunov,0.4,rare,rho,0.018975844862390064,0.00790675965389948,0.016602945686263727,4,0,8,0.03703230003884528
godunov,0.4,rare,v,0.01234266623748277,0.006712098640080123,0.01044257928481334,4,0,8,0.03703230003884528
godunov,0.4,shock,rho,0.010641244372345742,0.009393415395260134,0.006856350387234839,4,0,8,0.03703230003884528
godunov,0.4,shock,v,0.005575440032540016,0.005699538184824336,0.003028204597433838,4,0,8,0.03703230003884528
hll,0.2,rare,rho,0.019776500069756522,0.008147736065225506,0.017617986627310712,4,0,8,0.007547337489086203
hll,0.2,rare,v,0.011667418220677022,0.0058500323229128655,0.010994024478792747,4,0,8,0.007547337489086203
hll,0.2,shock,rho,0.01443246656721544,0.011931341281762355,0.010607172077939783,4,0,8,0.007547337489086203
hll,0.2,shock,v,0.007799524958012625,0.006963284257165887,0.005380895865196441,4,0,8,0.007547337489086203
hll,0.4,rare,rho,0.018471280634291307,0.0075970788950141255,0.016541556396971014,4,0,8,0.004374412499601021
hll,0.4,rare,v,0.010690541021583757,0.0050818172369272215,0.010084380066915949,4,0,8,0.004374412499601021
hll,0.4,shock,rho,0.01420931892127767,0.011669609106229946,0.010577182443299268,4,0,8,0.004374412499601021
hll,0.4,shock,v,0.007673360902555548,0.006785601942385616,0.005376255550468419,4,0,8,0.004374412499601021
weno5,0.2,rare,rho,0.0102181627480636,0.004272145678647084,0.009769030982951777,4,0,8,0.060239612517762
weno5,0.2,rare,v,0.004794840431160064,0.0014411971678671056,0.004541672623113257,4,0,8,0.060239612517762
weno5,0.2,shock,rho,0.01237179743194787,0.010602767525467313,0.009303802069569734,4,0,8,0.060239612517762
weno5,0.2,shock,v,0.006319320109022357,0.0059264006841192205,0.004276832177749622,4,0,8,0.060239612517762
weno5,0.4,rare,rho,0.01016465535811694,0.00419496080031406,0.009756954523126738,4,0,8,0.035427950002485886
weno5,0.4,rare,v,0.004807704187020307,0.0014391724538440022,0.0045626308319291365,4,0,8,0.035427950002485886
weno5,0.4,shock,rho,0.01237379450768998,0.010606176731311857,0.009303093507713434,4,0,8,0.035427950002485886
weno5,0.4,shock,v,0.006320659168882371,0.005928723786080303,0.004276607597835217,4,0,8,0.035427950002485886
